Unnamed: 0,América,Unnamed: 2,Unnamed: 3,Atlético,Unnamed: 5,Unnamed: 6,Athletico,Unnamed: 8,Unnamed: 9,Bahia,Unnamed: 11,Unnamed: 12,Botafogo,Unnamed: 14,Unnamed: 15,Corinthians,Unnamed: 17,Unnamed: 18,Coritiba,Unnamed: 20,Unnamed: 21,Cruzeiro,Unnamed: 23,Unnamed: 24,Cuiabá,Unnamed: 26,Unnamed: 27,Flamengo,Unnamed: 29,Unnamed: 30,Fluminense,Unnamed: 32,Unnamed: 33,Fortaleza,Unnamed: 35,Unnamed: 36,Grêmio,Unnamed: 38,Unnamed: 39,Goiás,Unnamed: 41,Unnamed: 42,Internacional,Unnamed: 44,Unnamed: 45,Palmeiras,Unnamed: 47,Unnamed: 48,Santos,Unnamed: 50,Unnamed: 51,São Paulo,Unnamed: 53,Unnamed: 54,Vasco da Gama,Unnamed: 56,Unnamed: 57
Bilheteria média (R$ mil/jogo),386.0,119.43684210526318,0.0,1645.0,1036.9289473684212,324.8924354842741,977.0,553.7526315789474,530.4366293620801,1189.0,0.0,649.7848709685481,1271.0,580.8973684210526,702.8285339047562,2384.0,2519.0315789473684,2095.2246859802162,704.0,434.3157894736842,0.0,1436.0,0.0,497.28434002695013,782.0,631.578947368421,0.0,3661.0,2589.6078947368424,3547.294958858911,1363.0,917.4921052631579,649.7848709685481,564.0,597.1842105263158,603.3716658993661,2001.0,0.0,762.5026547079902,266.0,233.44473684210527,530.4366293620801,1226.0,1058.6447368421054,1001.1991379209263,2416.0,2464.742105263158,1955.9850707726703,558.0,445.1736842105263,490.65388215992414,2515.0,1384.3815789473686,1591.3098880862403,1435.0,0.0,1180.2215003306283
Público Médio (pagantes),4910.0,2548.0,0.0,27989.0,25578.0,15526.0,22283.0,18685.0,15115.0,36461.0,0.0,26339.0,26691.0,0.0,16032.0,38433.0,38770.0,32869.0,21466.0,20608.0,0.0,29307.0,0.0,22439.0,14701.0,12715.0,0.0,54499.0,51757.0,55025.0,29783.0,28262.0,20209.0,32787.0,32961.0,33000.0,31385.0,0.0,16648.0,7698.0,8845.0,13506.0,27325.0,22902.0,19824.0,33167.0,35943.0,27962.0,12147.0,11845.0,10307.0,43780.0,30132.0,29432.0,26347.0,0.0,20449.0
Receita Operacional Líquida / Base de Torcedores,188.0,148.536,39.05339683678315,35.36842105263158,41.80289473684211,37.52839152736717,155.57575757575756,109.08893939393941,144.68462757713405,0.0,13.056962025316455,27.747207225807546,0.0,0.0,0.0,26.85897435897436,21.55570512820513,14.939781668331023,48.515151515151516,48.76181818181819,14.506638121190223,0.0,11.238731343283582,26.41792130750136,790.0,639.53,132.2776344471687,27.35966735966736,23.846735966735967,23.938571999745015,60.266666666666666,45.24846666666667,41.992899824498004,93.46153846153845,96.40557692307692,52.8141470869648,41.98019801980198,29.413069306930694,50.890405331866894,225.0,250.13875000000002,286.6015413021989,48.57142857142857,48.493896103896105,63.80739323982165,49.64497041420119,48.27908284023669,44.57707827523635,0.0,51.87838235294118,74.10511733734943,30.68807339449541,27.82211009174312,18.839016526770205,25.36764705882353,8.798088235294118,22.231535201204828
Receita com Venda de Direitos Econômicos / Gastos com a Base,5.166666666666667,2.0,3.818181818181818,4.625,4.888888888888889,7.57142857142857,17.214285714285715,7.214285714285715,6.045454545454545,,1.6153846153846152,3.214285714285714,,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,3.3009708737864076,0.18354430379746836,,0.0,5.6842105263157885,0.0,0.0,0.0,18.9375,4.75,9.375,0.5161290322580645,4.7,6.5625,5.666666666666667,5.0,4.0625,1.9230769230769231,4.08,4.695652173913043,0.9,0.6521739130434783,0.17460317460317462,4.052631578947368,7.863636363636363,6.296296296296297,6.448275862068965,5.8,4.153846153846153,0.0,14.7,24.0,3.5588235294117645,14.3125,2.6250000000000004,0.0,3.0459770114942533,1.076923076923077
Receita com Venda de Direitos Econômicos / Pontuação Série A,2.5833333333333335,0.19462264150943398,0.0,1.6818181818181819,1.565034482758621,2.782029613372993,0.0,1.7962327586206899,2.617994848433548,0.0,0.0,1.1569472400627003,0.0,0.0,0.0,5.02,2.3169076923076926,0.7648706753747853,0.5066666666666666,0.8350238095238096,0.0,0.0,0.0,3.7793609842048204,0.0,0.0,0.0,4.590909090909091,2.212733870967742,4.199289982449801,0.2857142857142857,1.385157142857143,2.875600748851494,0.6296296296296297,0.37509090909090914,0.15450217859956814,0.7352941176470589,0.0,2.0931845450980546,0.11842105263157894,0.06727173913043479,0.026649340273239123,1.4,2.444513698630137,3.005807566385121,2.6714285714285713,2.215814814814815,1.8386080463699126,0.0,3.22618085106383,3.677216092739825,2.2830188679245285,4.3743240740740745,2.0996449912249004,0.0,0.0,0.3599391413528401
Receita com Premiação / Folha do Futebol,0.0,0.0,0.0,0.0,0.0,0.0,0.2781954887218045,0.45505617977528084,0.6159420289855072,,0.0,0.0,,0.0,0.0,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2958963282937365,0.5694760820045558,0.5368098159509203,0.856353591160221,0.0,0.0,0.34210526315789475,0.4235294117647058,0.17391304347826086,0.0,0.0,0.0,0.22,0.2181818181818182,0.04878048780487805,0.3826530612244898,0.0707070707070707,0.3789473684210526,0.19753086419753085,0.26027397260273977,0.08032128514056225,0.0,0.0,0.0,0.0,0.14646464646464646,0.16363636363636364,0.125,0.02985074626865672,0.24719101123595505
Folha do futebol / Pontuação Série A,3.8333333333333335,1.1677358490566039,0.0,0.0,4.446120689655173,4.094307732888556,0.0,3.165637931034483,2.716415707397215,0.0,0.0,2.3910242961295807,0.0,0.0,0.0,5.22,4.348169230769231,5.039147978939761,3.9699999999999998,1.7928452380952382,0.0,0.0,0.0,7.383751552474233,1.9411764705882353,2.1133170731707316,0.0,7.015151515151516,7.303685483870968,4.56322844759545,3.232142857142857,1.9156428571428572,1.6705871017137253,2.111111111111111,1.594136363636364,1.640100049749262,3.3970588235294117,0.0,2.112565883478592,1.3157894736842106,0.7399891304347826,0.9932935920025491,3.5636363636363635,2.7977671232876715,4.199289982449801,5.785714285714286,4.648117283950618,4.239012995797299,0.0,2.984765957446809,2.826008663864866,5.018867924528302,3.782166666666667,3.2994421290677005,0.0,0.0,2.2881845414573405
Rec Oper Líquida / Pontuação Série A,7.833333333333333,2.8025660377358492,0.0,0.0,6.847025862068967,7.427494156458085,0.0,6.206784482758621,7.460301109445974,0.0,0.0,4.473529328242441,0.0,0.0,0.0,16.76,10.346738461538461,8.323592643784426,5.336666666666667,3.831285714285715,0.0,0.0,0.0,9.83333737556995,3.0980392156862746,3.119658536585366,0.0,19.939393939393938,18.500451612903227,12.793836813197059,8.071428571428571,4.848050000000001,6.8466684496464145,4.5,4.557354545454546,2.590882687285066,6.235294117647059,0.0,7.907586059259318,2.3684210526315788,2.1751195652173916,2.2046272407861456,6.8,5.115109589041096,8.619595227133802,11.985714285714286,10.073043209876543,10.180440849344517,0.0,7.505808510638299,6.809659430999678,12.622641509433961,11.23188888888889,6.518897782279215,0.0,0.0,6.170385280334401
Receita c/ Direitos de Transmissão,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,307.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,326.0,260.125,199.53727592138546,121.5,0.0,0.0,64.0,84.58300000000001,42.832757820987965,0.0,0.0,0.0,45.1,69.11050000000002,84.405728647241,75.0,145.44150000000002,104.56232056300006,183.0,173.292,249.43782495751816,,0.0,0.0,259.0,181.544,138.57656942084344,99.0,30.945000000000004,122.1993384892892
Dívida,104.0,100.05550000000001,80.2484315646157,1255.0,1198.603,718.078586998916,,334.206,360.29908049419294,,206.3,178.88975325236152,,,,698.0,620.9630000000001,403.13183831518086,18.0,203.20550000000003,268.3346298785423,,681.8215,525.3311768044701,0.8,0.9283500000000001,0.0,255.0,359.99350000000004,537.9290467518194,600.0,601.3645,672.7262551884581,11.4,10.418150000000002,19.40071971891808,453.0,470.36400000000003,439.66566116249413,61.4,67.25380000000001,52.155181582026536,438.0,336.269,246.91825096804828,128.0,165.04000000000002,304.86845272585555,418.0,453.86,425.8080042204098,491.0,533.2855000000001,447.2243831309038,631.0,646.7505000000001,701.7013560673618
Dívida / EBITDA,14.857142857142858,32.333333333333336,-7.077777777777778,-5.919811320754717,29.794871794871792,4.5600000000000005,,3.7241379310344827,2.576576576576577,,200.0,3.641025641025641,,,,2.814516129032258,3.670731707317073,-17.77777777777778,0.3,3.078125,-19.363636363636363,,4.527397260273972,2.8367346938775513,0.021621621621621623,0.03461538461538462,0.0,0.5257731958762887,1.0526125730994154,2.169068736902498,4.651162790697675,9.109375,7.628571428571429,0.0991304347826087,0.17719298245614037,1.711111111111111,2.92258064516129,13.818181818181818,2.2088607594936707,-76.75,1.3225152129817446,1.0894736842105266,1.4697986577181208,2.8596491228070176,2.202247191011236,0.6881720430107527,0.8743169398907104,1.2804232804232805,0.0,2.268041237113402,1.6568627450980393,4.232758620689655,2.267543859649123,1.0990712074303406,-57.36363636363637,26.125000000000004,4.680672268907563
Dívida / Rec Oper Líquida,0.5531914893617021,0.6736111111111112,2.054838709677419,3.7351190476190474,3.018181818181818,2.0141342756183747,,0.9283667621776504,0.7546174142480212,,2.0,0.8160919540229884,,,,0.8329355608591885,0.9233128834355829,0.8648648648648648,0.11242973141786385,1.2628205128205128,5.605263157894736,,4.527397260273972,1.4839857651245552,0.005063291139240506,0.007258064516129033,0.0,0.19376899696048633,0.3138489208633094,0.4671772428884026,1.3274336283185841,1.7720364741641335,2.136,0.04691358024691358,0.04156378600823046,0.14128440366972478,1.0683962264150944,1.5833333333333335,0.8553921568627451,0.6822222222222222,0.6721649484536083,0.45494505494505505,1.1711229946524064,0.9005524861878452,0.5025641025641026,0.15256257449344457,0.20227560050568902,0.40468227424749165,0.0,1.286549707602339,0.845,0.7339312406576981,0.8792517006802721,1.0889570552147239,1.8289855072463768,5.405172413793104,2.3208333333333337
Folha do futebol / Receita Operacional Líquida,0.48936170212765956,0.41666666666666674,0.8064516129032258,0.0,0.6493506493506492,0.5512367491166078,0.0,0.5100286532951289,0.3641160949868074,0.0,0.72,0.5344827586206896,0.0,0.0,0.0,0.0,0.42024539877300615,0.6054054054054054,0.7439100562148657,0.46794871794871795,0.9736842105263158,0.0,0.3904109589041096,0.7508896797153024,0.0,0.0,0.0,0.3518237082066869,0.3947841726618705,0.35667396061269147,0.4004424778761062,0.39513677811550146,0.24400000000000002,0.4691358024691358,0.3497942386831276,0.6330275229357798,0.5448113207547169,0.4027777777777778,0.26715686274509803,0.0,0.3402061855670103,0.45054945054945056,0.0,0.5469613259668509,0.48717948717948717,0.4827175208581645,0.461441213653603,0.4163879598662207,0.0,0.3976608187134503,0.415,0.3976083707025411,0.336734693877551,0.5061349693251533,0.463768115942029,0.5775862068965517,0.37083333333333335
Folha futebol + Compra jogadores / Rec Oper Líquida,0.5372340425531915,0.5277777777777778,0.832258064516129,0.0,1.0337662337662337,0.734982332155477,0.0,0.7822349570200573,0.44327176781002636,0.0,0.72,0.7241379310344828,0.0,0.0,0.0,0.0,0.48466257668711654,0.6351351351351352,0.7820112429731417,0.5128205128205129,0.9973684210526316,0.0,0.3904109589041096,0.9501779359430603,0.0,0.0,0.0,0.5592705167173252,0.6025179856115108,0.6301969365426696,0.413716814159292,0.47720364741641336,0.28800000000000003,0.7777777777777778,0.5390946502057614,0.6844036697247706,0.6014150943396226,0.6319444444444444,0.38725490196078427,0.0,0.3587628865979382,0.5109890109890111,0.0,0.7900552486187845,0.6205128205128205,0.6615017878426699,0.5941845764854614,0.5986622073578595,0.0,0.5789473684210527,0.5475,0.5127055306427504,0.46598639455782315,0.9478527607361964,0.9188405797101449,0.8017241379310345,0.385
Despesas c/ a Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,35.071000000000005,34.014248857843384,,,,,,,,,
Gastos Totais c/ a Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,66.016,66.76871072095183,,,,,,,,,
Receita com Venda de Direitos Econômicos / Gastos Totais c/ a Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.460526315789474,2.71875,2.0377358490566038,,,,,,,,,
